txt_cleaned;CodeGpt
Ha cominciato a piovere e sono quassù da mio figlio, sto uscendo per andare a mangiare una pizza dalle mie amiche, c'è una nebbia che sembra autunno. E quindi questo tempo lascia un po', così, sì voglia di caldo... fra l'altro poi ho avuto una mezza discussione con la mia cognata, che è un po' anti vaccino e quindi abbiamo due pensieri opposti. E niente, e quindi stavo proprio pensando a quanto a volte queste due visioni completamente diverse, no? Dove, da un lato, c'è chi pensa che c'è un complotto a livello mondiale su le malattie, e io che invece sono sempre andata cauta con i vaccini, che invece credo e comincio a pensare che invece, a volte ci si nasconde sotto questi complotti pur di non prendersi le responsabilità personali, che probabilmente la verità non è né mia né la sua, cioè è una verità che sta di mezzo. Però insomma era questo oggi che stavo pensando, mentre raggiungevo le mie amiche per andarci a mangiare una pizza e goderci un po' questi momenti. E niente, e poi dovevo andare alla casa famiglia. ;1013
Stavo finendo di pulire la cucina. E niente, pensavo così alla giornata di domani, che è lunedì e si riparte. E poi ho telefonato alla mia figliola per sentire cosa facevano, ho parlato con le bimbe, mi hanno raccontato un po' della mattinata. E niente, pensavo a quanto sono fortunata ad avere due nipoti, una bimba grande, la mia famiglia, perché la domenica per me è, ecco questo, ritrovarsi in famiglia, stare in relax, magari anche ognuno a casa sua, però vicini col pensiero, organizzando la settimana, organizzando il modo di potergli dare una mano, insomma di essere vicina a lei, alle bimbe e, insomma, di sentirsi famiglia anche se ognuno a casa sua.  ;1014
Ero in un'aula scolastica ma io ero già grande tipo forse leggermente più giovane e c'erano tutti dei banchi in quest'aula grandissima sulla destra, noi eravamo messi nei banchi verso la lavagna, che però era più a sinistra, poi forse c'erano altre banchi dall'altra parte perché poi in fondo c'erano degli armadi. Ci siamo messi a sinistra e c'erano i bambini piccoli ehm che chiaramente facevano domande da bambini, notavo questo fatto e dico ma che strano che siamo tutti adulti e i bambini tutti insieme, così. E poi avevo il cellulare in mano e poi però ero fuori dalla classe rientravo e lo lasciavo a caricare da qualche parte tanto dico tra poco tanto c'è la ricreazione. E poi questo professore e poi alla fine appunto usciamo in questa ricreazione e si usciva da quest'aula e un mio collega mi dice forse un giorno di dicembre viene su, fa il viaggio magari la porti su te.;1015
C'era qualcosa di chiaramente correlato a qualche tipo di ambientazione fantasy, c'erano degli elfi, ho questa sensazione di una tematica di viaggio, un qualche tipo di viaggio che stavo facendo, ehm, ma non ero io nell'ipotetico paese degli elfi, gli elfi è una parte costitutiva e integrante, organica di questo viaggio. Potrei essere stato io stesso un elfo, no, ehm, però insomma c'erano delle cose.;1016
"Oggi, tornata dalla stazione, di ritorno da [PLACE1], sono passata a trovare [NAME1], il fratello di [NAME2], il mio ragazzo che, diciamo, per motivi logistici, adesso si ritrova a casa da solo. E ci siamo ritrovati quindi a parlare di università e di come stanno andando le cose, fondamentalmente poi niente. Ho pensato di rimandare il mio rientro in palestra alla prossima settimana. Perché penso che fondamentalmente devo ancora riprendere i ritmi. Non ce la faccio, arrivo che sono sempre stanca questa settimana, penso che voglio andare a letto, penso che voglio dormire, che non ce la faccio, cioè nel senso, non è che non ce la faccio... devo riprendere un attimo a riabituarmi alla situazione. E' tutta una corsa e in questo periodo non ho dormito tanto. E quindi niente, ho passato queste a combattere, diciamo, con se andare o non andare ad allenarmi, anche perché mi piace, non è tanto la palestra in generale, allenarmi mi piace, mi fa staccare dal mondo; praticamente è l'unica ora in cui non penso a tutte le mie preoccupazioni, se così le possiamo chiamare, è veramente l'unico momento della giornata in cui riesco. Quando mi ritrovo a [PLACE1] fondamentalmente, che lavoro però per il mio progetto di tesi, e quindi do questo mio piccolo contributo, perché alla fine io mi limito a fare acquisizione dei dati, quindi, il contributo è quello che è, però va bene così; quando anche mi trovo lì, diciamo, se ci sono pensieri a volte, perché sono completamente canalizzati su quello, quindi fondamentalmente niente, questo. E non vedo l'ora di andare a dormire stasera e per prepararmi alla giornata di domani, che voglio iniziare con energia, perché da domani, visto che non devo andare a [PLACE1], per l'appunto, voglio essere in forma per lavorare da casa, continuare a andare avanti nel mio lavoro di stesura, della tesi sempre. E niente. Fondamentalmente voglio rendere la mia giornata di domani produttiva, perché così almeno arrivo alla sera che sto bene con me stessa, quindi è tutto. ";1017
"Ora ero al sole, sulla sdraio, sul terrazzo di casa a scaldarmi un po' e a prendere i primi raggi del caldo che si fa attendere ma insomma, forse sta arrivando. Guardando un attimo il telefono sul gruppo di fan di Battiato, il quale io ero facente, insomma facevo parte di questo gruppo, quale grandissima estimatrice di Battiato. Leggevo alcuni commenti su chi ora va alla casa di Battiato, dove anch'io sono stata, e ci sono varie versioni di idee insomma. C'è chi dice: ""ma non importa andare ora a vedere la sua casa, perché tanto lui ora non c'è più, queste sono cose mediocri, sono cose così senza senso"". Ognuno esprime la propria opinione, comunque a me, io ci sono andata quando era ancora vivo, ha fatto tanto piacere vedere dove abitava, vedere i luoghi dove lui viveva, anche se l'interno del giardino così non ho potuto vedere niente perché la porta era chiusa naturalmente non mi hanno fatto entrare. Però ecco solo l'idea che lui era lì, poteva essere in casa oppure poteva essere passato di lì, che lui vi viveva lì e aveva visto questi posti da sempre, a me mi ha riempito il cuore. M'ha fatto bene. Quindi ognuno vede le cose come vuole insomma. Logico che lo spirito va al di lì dei luoghi, dove uno ha vissuto, però può far piacere andare a salutare, a vedere la casa, e niente, i suoi posti, la sua Sicilia che lui amava tanto. Stavo riflettendo su questo, sulle varie opinioni di pensiero, poi ognuno tanto è libero di fare e pensare quello che vuole.";1018
Situazione caotica. Sensazione di molto caldo.;1019
C'era qualcosa che aveva a che fare con la cremazione.;1020
Ero con le colleghe d'ufficio alla sagra in un luogo chiuso con i tavoli da birreria e c'era una TV accesa in cui davano la notizia di una donna uccisa. Io ero presente, dialogavo con la collega, eravamo molto prese e coinvolte da questo femminicidio perché conoscevamo la persona in questione. In tutta questa situazione c'era una parte di me che era molto preoccupata perché volevo continuare a sentire il telegiornale e dialogare con le colleghe, ma contemporaneamente sapevo che dovevo accendere il registratore e volevo assentarmi e avevo un po' di difficoltà.;1021
Eravamo io, poi c'era un mio amico di [PLACE1], uno dei miei migliori amici, [NAME1] e anche [NAME2] di Neuroscienze. Eravamo in aula, sostanzialmente, l'ambiente era una delle aule, quindi quello scolastico. [NAME2] tipo usciva dalla classe piangendo perché si era lasciato. E poi lo andavamo a confortare tutti insieme. Lì mi sembra ci fosse anche tipo il ragazzo thailandese.;1022
Ero a un corso di aggiornamento in una stanza piena di gente dove mi muovevo fatica e se mi volevo spostare, ma mi spostavo male tra i banchini dove non si passava perché erano troppo appiccicati. E poi avevo una specie di tubo dell'acqua in mano con un interruttore e davo l'acqua alle piante lungo i corridoi. Sempre mi sembrava anche quella una scuola perché erano corridoi grandi e larghi con queste piccole piantine su su dei tavoli.;1023
Sono stato a fare alcune cose, mi sono un po’ allenato e ho controllato alcune cose per il master. Sono stato sicuramente più tranquillo rispetto a ieri anche se insomma… non è che sia stato al cento per cento però comunque mi sono sentito più rilassato e più tranquillo rispetto a ieri. Per il resto niente, ora andrò a cena e fino a poco fa stavo pensando appunto al master e alle cose che ho un po’ visto ed imparato oggi. ;1024
Sono stato emotivamente in uno stato abbastanza normale. Non ho fatto dei pensieri in particolare a parte aver fatto una telefonata con mio papà che mi ha comunque reso felice perché mi fa piacere sentirlo. Per il resto non ho fatto pensieri in particolare, ho sistemato un attimo delle cose in casa e poi ho messo via i piatti che ho usato per la cena e basta, semplicemente.;1025
Sicuramente qualcosa riguardante [NAME1].;1026
Sono appena tornato a casa. Sono sveglio dalle cinque del mattino perché ho fatto un turno in ambulanza. Mi sono addormentato per una mezz'ora dopo pranzo prima di tornare all'università. E sono molto stanco e un po' rimbambito da questa doppia dormita. Qui non sono abituato. E andrò a letto fra tre ore circa, credo. Sereno ma stanco e boh, questo è il mio mood.;1027
Ero in macchina con due professori del mio dipartimento, si parlava, eravamo in una città lontana.;1028
Ero in prigione e la guardiana della prigione era la receptionist qui del [INSTITUTION1].;1029
Mah, in questi ultimi quindici minuti sentivo ancora un po' così così non credo che mi sia completamente passata l'influenza. In realtà quanto meno sono negativo quindi questo mi rassicura un po', ma non credo comunque che tornerò a [PLACE1]. E stavo, vabbè, stavo anche mentre pens cose mi sentivo un po' appunto accaldato, poi ho queste fitte che mi percorrono la testa e mi mi entrano nel cervello. Ho l'impressione che tipo di aver forse dormito storto, forse qualche nervo infiammato. Non lo so, intanto mi si scaricano delle fitte sulla sulla sullo scalpo, credo che si dica, ehm veramente fastidiose e poco prima cosa stavo facendo, stavo guardando stavo guardando un video piuttosto piuttosto interessante di Alex Del Piero e Bobo Vieri che che discutono di dei loro tempi in quando giocavano a calcio, eccetera, detto che sono stati in nazionale insieme e davvero se mentre li ascoltavo un po' sentivo ritornare quei giorni proprio del duemiladue, del novantotto, duemilasei, in cui stavo appiccicato al al al al televisore per vedere le le il Mondiale. Eh sono stati giorni fantastici e e devono essere stati fantastici anche per loro, poi mi faceva anche un po' tornare in mente come sento qualcosa di simile a quello che si prova guardando Holly e Benji quando vanno in Nazionale nel duemiladue credo, è un cartone di di calcio, giapponese e e niente c'è c'è proprio questa sensazione da un lato di pressione, però dall'altro il l'affiatamento coi compagni, la sensazione, come dire, di di di voler raggiungere un obiettivo. E poi c'è come dire stiamo parlando di gente che per me erano, c'è Alex Del Piero per me era un eroe, c'è tipo avrei dato, non so, la costola sinistra per per mangiare, per vederlo, per per parlare con lui c'è, mi sembrava un gigante come uomo. Pensavo a tutte queste cose. Ehm ehm whatelse, e niente poi notavo anche un po' il loro il loro conversare no, erano, c'erano anche nella loro conversazione momenti come dire di leggera noia, poi i momenti di maggiore divertimento. C'è proprio un po' dà l'impressione di un ragazzo timido ancora Alex Del Piero, ehm tra l'altro a un certo punto nel nel nel nell'intervista dice questa cosa che lui vabbè, lui non è mai stato uno che ha detto tante parole durante pr allena però sentivo anche una leggera invidia per la loro vita insomma, così piena, così così leggendaria in quegli anni, no. E poi vabbè, poco poco pochi minuti fa stavo stavo preparando il messaggio da postare su Facebook per per per pe per per le cuffie e litigavo un po' con l'inglese, non mi ricordavo come si diceva head phones, che è cuffie. E poi vabbè stavo un po' decidendo come metterla giù perché, insomma vabbè non volevo insomma dire ipotizzare nulla insomma lasciava un po' magari appunto davvero qualcuno ha semplicemente spostate e e boh, anche se boh mi sembra strano, continua a sembrarmi, vabbè più o meno erano queste le cose che mi passavano per la testa.;1030
Ero sul divano. A giocare a scacchi su internet. Non ho pensato a niente di particolare. Ho bisticciato un po' con gente su Whatsapp, quindi mi sono un po' innervosito. Anche a scacchi è andata abbastanza male, quindi... sono un po' frustrato, ecco. ;1031
Ero a lezione e stavo seguendo. Ero abbastanza interessata, però stanca. Dopo ore di lezioni. E io tipo abbastanza soddisfatta. Una giornata interessante e però pensavo anche a quando sarei tornata a casa per riposarmi.;1032
Ok sono in macchina che sto guidando verso [PLACE1] e mi sento un po' tipo come l'agente Cooper in Twin Peaks. Stavo pensando che forse sabato ci potremmo guardare un film io e la mia ragazza a casa, e stavo pensando a che film si potrebbe guardare. Quando sono in macchina è abbastanza frequente che io insomma vaghi un po' con la mente, soprattutto se sono strade molto note come questa strada che sto facendo adesso, questa autostrada, e quindi stavo fondamentalmente pensando a quello ma la situazione piacevole di potermi guardare un film con la mia ragazza, tipo un sabato una domenica pomeriggio, in cui magari fuori piove, non hai assolutamente voglia di uscire e quindi questo fondamentalmente era il pensiero, genericamente un pensiero positivo e anche insomma, caloroso, ecco, che mi scalda, se penso una cosa del genere. Stavo pensando appunto a quale film potremmo guardare, pensavo a The Witch visto che lei non lo ho mai visto ed è un gran bel film, pensavo fondamentalmente a quello.;1033
Sono un pochettino triste, insomma, scossa, perché oggi il mio amoroso è andato a [PLACE1], e non siamo abituati a stare lontani, tant'è che appunto tutto questo periodo durante il quale siamo stati insieme, eravamo abituati a stare costantemente l'uno con l'altro, e quindi sono un po' malinconica, anche se cerco di concentrarmi sulle cose positive, ovvero sul fatto che, ad esempio, già giovedì sera vado a trovarlo e passo poi il weekend con lui a [PLACE1]. E poi per il resto stavo sempre ascoltando una lezione e andando un po' a rilento, però, insomma, anche perché continua a andar via la luce... è andata via, penso, dieci volte nell'arco di un'ora e mezza. Quindi sono anche andata a cercare su Internet cosa possa significare e quali possano essere i vari rimedi eccetera eccetera. Per il resto non ho avuto particolari pensieri, se non appunto questo senso un po' di malinconia e di spossatezza generale, però sono un po' più tranquilla invece relativamente a quello che è la mia salute fisica, visto che, nonostante stamattina stessi molto male e mi sentissi la febbre, adesso invece mi sento un pochettino ripresa. ;1034
C'era un paesaggio lacustre con montagne molto verdi e alcune persone, studenti in gita, diciamo, domenicale.;1035
"Ero in questa casa all'[PLACE1], che è la nostra casa, azzurra e tutto, e venivano degli amici e gli facevo vedere tutte le stanze eccetera. Però poi a un certo punto succedeva qualcosa per cui bruciava la casa, bruciavano un pezzo della casa. E io dicevo ai miei genitori: ""Ma sta bruciando un pezzo di casa"". E loro m'hanno detto: ""No ma tranquilla, non ti preoccupare, tanto adesso si accendono gli antincendio"". E quindi si sono accesi questi due antincendio che effettivamente hanno poi bruciato cioè fatto in modo che si spegnesse l'incendio, tranne in un angolino dove sono andata io con una bottiglietta d'acqua insomma. E nel mentre avevamo anche degli animali in questa casa e quindi ho dovuto spostare un cane piccino. E poi c'è un mio carissimo amico, parlavo con lui e eravamo anche in un posto... aveva diciamo questa casa in cui in realtà che poi era intercambiabile, ehm, l'aveva in pratica, ehm, tutta arredata con le cose dell'ufficio e che erano dismesse, e quindi mi faceva vedere che c'aveva il coso megagalattico dell'ufficio eh, e poi c'aveva [MISS] delle robe di team building. E quindi c'avevi il posto dove potevi fare punchball e dove potevi sfogare la rabbia, oppure c'avevi un altro posto dove potevi fare delle cose, e insomma era una metà tra della roba di design e delle cose di utilità, tipo appunto dove sfogare la rabbia e dove sfogare nervosismi eccetera. Poi tipo qualcuno dei miei amici a cui facevo vedere la casa, una mia amica che dormiva, [NAME1], un'altra, [NAME2], che gli facevo vedere la casa e insomma diceva che era molto bella. In pratica in quasi tutto il tempo ho fatto vedere la casa per far vedere quant'era bella, quant'era figa eh. Poi c'è stato questo incendio allucinante.";1036
Sono appena tornata al laboratorio, dove abbiamo avuto un esperimento, io e la post-doc che mi sta seguendo, ho pulito la cuffia, sistemato un po' di cose, e dovevo chiudere io il laboratorio perché bastava lo facesse una persona. Ero quasi tornata alla residenza, ma mi ero dimenticata gli anelli che avevo addosso. Oggi indossavo due anelli. Quindi sono tornata che mi ero tolta per lavare le cose, quindi sono tornata indietro. E... sì, un po' scocciata, perché non riuscivo più a arrivare a casa, continuava a esserci qualcosa che me lo impediva. Ma alla fine sono arrivata a casa. Adesso mi rilasso facendomi una doccia e poi in realtà dovrei lavorare, ma vediamo... cercherò di fare qualcosa prima di cena, se riesco, o un pochino dopo. Perché le giornate quando ho impegni a laboratorio e lezione la mattina volano che neanche me ne accorgo tra un po'.;1037
Sono stato a risalire un fiume con mio figlio [NAME1] di otto anni e due amici. Anche se mia moglie era contraria, perché aveva paura che prendesse le zecche. E siamo stati molto bene, è stato un po' vagamente pericoloso, ma molto divertente. È una bella immersione nella natura, quindi sono stato un po' tutto il tempo tra il piacere dell'esperienza per mio figlio, un po' la trasgressione e la quasi certezza che poi tanto mia moglie me l'avrebbe fatta pagare una volta tornato. E dopo una giornata a rimettere in ordine la cantina, che a cercare di dare un ordine al caos delle cose che si sono accumulate dopo due anni di pandemia. Fare ordine fa stare meglio. ;1038
Ero in un paese della Francia. Me ne stavo per i fatti miei con la bicicletta e incontravo tutti i colleghi che iniziavano una specie di concorso e volevano che partecipassi. Ma io volevo starmene per i cavoli miei e allora cerco di cerco di sfuggire a queste persone. E nello sfuggire, ci sono tre personaggi loschi, tossici magrebini o francesi malviventi che mi inseguono e cercano di aggredirmi e rubarmi la bicicletta. E io scappo, però sono ubriaco e anche loro lo sono. Non riesco a pedalare, mi raggiungono. Poi li scappo, finché non arrivo in un'area camper in mezzo a delle rovine tipo azteche. E alla fine mi raggiungono. Sono costretto a difendermi, prendo delle assi di legno e li colpisco per allontanarli.;1039
"Stavo cercando di vedere la mia moto ma era molto difficoltoso perché era come se la moto fosse piena d'elio, quindi proprio non stava a terra. Eh tutto questo nel buio della notte. Ad un certo punto mi ha raggiunto questo ragazzo di colore e anzi lui mi ha dato una mano a far poggiare entrambe le ruote a terra; è stato molto carino, molto gentile, nonostante non mi aspettavo l'avesse fatto. Aveva una maglietta molto rossa. E poi a un certo punto sono stato raggiunto da tre ragazzi, anzi quattro ragazzi bianchi che invece mi hanno caricato di botte; ma proprio pam pam pam pam! Proprio un pestaggio di gruppo selvaggio e senza senso, senza alcun motivo.";1040
"Una mia amica, [NAME1], ci stava raccontando e sottolineando quanto, ehm, il suo ragazzo, [NAME2], la conosca e sappia quello che a lei piace, le dà fastidio e quello che lei vorrebbe, tanto che anche in un momento in cui noi eravamo lì tutti insieme... ehm, noi persone, ehm, dopo una eliminazione che è stata fatta, dovevamo cenare e il suo ragazzo le porta quello che deve mangiare e poi si allontana, se ne va e la lascia mangiare da sola, in disparte, senza che lui stia lì a guardarla. E lei è proprio quello di cui aveva bisogno, quello che avete voluto, e quindi ci fa notare quanto il suo ragazzo, appunto, la conosca e sappia quello che lei vuole e lei dice proprio che era ciò che avrebbe voluto tantissimo. Doveva esser fatta una eliminazione di un personaggio e viene eliminato proprio il mio personaggio. Io in quel momento ero un leone e forse nello spettacolo era un personaggio troppo importante e era stato deciso dai miei avversari di eliminare me. E un pochettino sono triste, la persona che mi elimina mi alza, mi fa alzare, mi porta nel mezzo e mi fa vedere a tutti che sono io quella ad essere eliminata, mi rimetto a sedere e poi io dico: ""Eh tra l'altro, eh, tra l'altro ero un avversario troppo importante, lui è il mio rivale numero uno"".";1041
Mi sono vestita e mi sono preparata, che adesso alle quattro vado a festeggiare una laurea, un amico mio che si è laureato e sta facendo una festa a una pista di pattinaggio su ghiaccio qui vicino e anche bowling e anche cena e quindi mi sono vestita la madre del mio ragazzo ha cucinato una deliziosa torta con dentro la zucca, quindi ho fatto merenda ed è molto buona.;1042
"Sono andata dalla parrucchiera oggi a [PLACE1], sono ancora dal mio amoroso, e quindi, appunto, sono andata dalla parrucchiera a tagliare i capelli; io li ho sempre avuti molto lunghi e diciamo che le parrucchiere non sono esattamente le mie migliori amiche, però appunto volevo provare un taglio che li mantenesse lunghi ma allo stesso tempo li scalasse eccetera eccetera. E quindi, appunto, mi stavo facendo foto da mandare a mia mamma per farle vedere come sono venuti. Inoltre non è da troppo tempo che sono tornata a casa, ho fatto un andirivieni in tutto il giorno perché sono andata dalla parrucchiera, poi la parrucchiera è stata così gentile da darmi delle chiavi, a partire dalle quali poter fare una copia, perché praticamente io sono dal mio amoroso nell'appartamento, soltanto che i padroni di casa si sono dimenticati di dargli una chiave che apre un cancello del condominio che viene chiuso ogni giorno alle sei, e domani e nel weekend viene chiuso all'una. Quindi noi, praticamente, visto che non abbiamo queste chiavi, non possiamo uscire di casa, dopo le sei in questi giorni, e appunto dopo l'una, domani e dopodomani. E quindi insomma, parlando, questa parrucchiera è venuta a conoscenza di questa cosa e è stata così gentile da prestarmi le chiavi. Allora io sono andata, dal tizio che fa le chiavi, in un negozio; ho aspettato tantissimo per poi sentirmi dire che solo l'amministratore può fare la copia di queste chiavi, che sono protette, e quindi, niente, sono frustrata. Ci sto pensando costantemente e quindi, insomma, mi pareva giusto, raccontarlo. Pertanto penso che, siccome non ho voglia di farmi un weekend, in un appartamento, piuttosto si citofonerà, sì, a qualcuno dello stesso condominio, perché sennò, cioè che sbatti. A parte questo, nulla, sto continuando a pensare ai miei capelli e a guardarmi per cercare di abituarmi. Sì per molti non è che sia un cambiamento proprio radicale sicuramente, però per me sì. Adesso penso che andrò a mangiar qualcosa. ";1043
Sono stanca e stavo pensando che devo fare la spesa e devo fare la lavatrice e che, non è facile essere adulti quando stai facendo anche un Phd, specialmente qui perché, cioè cazzo, mi sembra che non ho mai tempo di fare niente, perché se poi mi metto a fare qualcosa non ho tempo di lavorare o mi sembra che non sto facendo un cacchio di nulla. E cioè, banalmente, andare a far la spesa ti porta via quell'ora o cosa la mattina o la sera quando, che ok sì, lo puoi fare se non hai fatto niente, cioè se a un certo punto, toh, le sei le sette e dici va boh, vado, tanto poi c'è la mensa non devo cucinare. Però poi, cioè boh, non lo so. Però, almeno una lavatrice la devo fare. Vabbè niente, quindi questi erano i miei pensieri.;1044
All'improvviso [NAME1], un mio amico in comune con altri, eravamo a casa di mia nonna e a un certo punto mi baciava e voleva passare del tempo con me. Tutto sommato piacevole come situazione, solo che a una certa arrivava la mia famiglia, mia mamma, mia zia e questa nuova coppia che sembravano dei vecchi parenti. E pareva che ci fossero dei problemi, problemi di soldi, del passato, eccetera e non volevo assolutamente che lui facesse parte di questo delirio famigliare. Era vestito con pantaloni neri e una camicia bianca e una giacca nera di pelle. Eravamo a casa di mia nonna e poi uscivano. Cercavamo di risolvere appunto questo problema. Sicuramente c'era da restituire diciotto euro e novanta a qualcuno, però si continuavano a contare altri soldi e non si sapeva bene che cosa dovessimo farcene di questi altri soldi lì nel giardino. Mi ricordo anche cinque banconote da duecento un po' più stropicciate, però si sistemavano bene. E bisognava raggiungere una somma sui circa sessanta mila, giù di lì. ;1045
Oggi finalmente sono riuscito a sentire e a vedere su Google Meet due mie care amiche che non vedevo e sentivo da un po' di tempo. Mi ha fatto piacere soprattutto perché sono importanti come persone per me, per un momento bello della nostra vita, perché sono state le mie testimoni di nozze e quindi era un po' che ci si rincorreva, sentiamoci, vediamoci, no non ci si fa, no non ce la facciamo, oggi ci siamo impuntati, ci siamo messi d'accordo e abbiamo deciso di vederci e di sentirci quindi ci siamo dati appuntamento su Google Meet appunto. Ci siamo fatti una bella chiacchierata, ho rivisto anche la loro famiglia, siamo stati una mezz'oretta a chiacchierare tranquillamente insieme, quindi anche oggi è un momento bello, sereno, di gioia e anche un pochino di nostalgia appena ripensando a tempi passati con loro quando ci trovavamo insieme, uscivamo insieme, bel momento.;1046
Sono uscito ora da fare la spesa. Niente di più e niente di meno. Ho fatto la spesa, c'era un bel caos di gente a fare il proprio approvvigionamento. Niente, diciamo che di grandi pensieri non ce ne erano, se non prendere quello che serviva e andare velocemente a casa per fare la doccia e dopo preparare per cena e tutto.;1047
"Pensavo ai disservizi degli hotel italiani, in quanto sono appena arrivato in un albergo a [PLACE1] dove mi sto sistemando per poter lavorare oggi pomeriggio in quanto domani ho un'altra perizia e mi hanno detto che il Wi-Fi non funziona. Quindi, ecco, diciamo, un po' di irritazione; non so se è annoverabile tra i sentimenti, ma sicuramente è quella che è la mia sensazione e quindi mi appresto a lavorare utilizzando il mio cellulare. Altri pensieri non ne ho in quanto trascorrerò un pomeriggio di lavoro a [PLACE1]. ";1048
"Avevo molti washi tape, che sono dei nostri adesivi decorativi in tantissime fantasie diverse e quindi di star facendo un giro per tipo la mia stanza ehm di guardarli tutti. E c'erano fantasie semplici su nastri sottili e poi fantasie molto più complicate su altri nastri. Addirittura un nastro ero a tema Zelda ehm erano tutti personaggi in diversi costumi, tipo vestiti da operaio, vestiti camuffati. Poi era come se stessi guardando la TV e all'inizio c'era un cartone animato, Steven Universe, e ehm ed era Steven che combatteva contro delle creature di fuoco ma non lo prendeva abbastanza sul serio, quindi Garnett lo sgridava. Poi è passato a essere My Hero Accademia con il personaggio della bambina che cercava di lottare, ma non era abbastanza, non ci riusciva. E quindi il personaggio del coniglio, che in realtà aveva un potere curativo che va lì, la cura e la rimette in piedi. E quindi le dice di farsi forza. E poi c'è un mio papà che si sta lamentando del fatto che nella volta scorsa che ha visto il cartone il personaggio della bambina era molto più forte e io gli ho detto: ""Ma mica sono forti uguali i nemici"". Uhm e poi sto assistendo a una commedia con un uomo biondo con il naso tutto storto che ha fatto la pubblicità del Crodino. Ehm questo attore che fa qualcosa e poi alla fine beve un tè.";1049
"Sono a [PLACE1] perché son venuta a trovare il mio amoroso. Non riesco a pensare ad altro che alla mia condizione fisica attuale. È proprio un pensiero fisso, costante, che mi allarma parecchio, perché il dolore alla schiena non è andato via e anzi sembra più costante e anche intenso. Sono molto ansiosa e ipocondriaca riguardo quella che può esser la salute fisica e oggi per fortuna ho prenotato una visita dall'ortopedico per martedì, però appunto sono molto angosciata ed è un pensiero che continua a occuparmi la mente e continuo a fare ricerche su Internet, il che non aiuta perché mi spavento ancora di più. Adesso sono arrivata alla conclusione che si tratti di un nervo accavallato, anche se in realtà l'espressione nervo accavallato non è giusta, però appunto ho trovato che indica una condizione per cui il muscolo, diciamo, si infiamma e quindi va a schiacciare anche il nervo; i sintomi consistono in delle scosse, è come se ci fossero degli aghi, ed è esattamente la sensazione che provo io. E quindi niente, ho pensato a questo tutto il tempo però ho fatto un giro anche su Uber Eats o qualcosa del genere, per guardare cosa mangiare questa sera, perché non ho mangiato nulla oggi e quindi ho una fame assurda. E niente questo è, spero di avere notizie più positive domani.  ";1050
Ero in un supermercato con un amico, e stiamo uscendo dal supermercato e dobbiamo andare in vacanza.;1051
"Io andavo a casa di mio fratello e c'erano soprattutto i miei nipoti e c'era questa enorme casa e quindi ogni tanto veniva qualcuno che mi diceva: ""Ma devi farti la doccia?"". E niente, e però era una casa diversa. E poi, ehm, era localizzata dentro un paese, c'era un campo e giocavano a pallone, e in questo giocare a pallone ci giocavano con le donne, donne e uomini mescolati, ma così come capitava, passava uno, si metteva lì e andava a giocare e si divertivano da matti, ma invece che correre quasi strisciavano. E si divertiva. Ehm, era piacevolmente insolito.";1052
Oggi è il mio compleanno quindi giornata proprio all'insegna di me stessa, quindi non ho fatto niente di niente. Dormito, rilassata, un bel massaggio shiatsu, quindi... stupendo. Doccia calda, buon aperitivo, serata rilassante, quindi solo pensieri positivi oggi. Tanti auguri e tante persone che hanno pensato a me e quindi solo una giornata semplice ma piacevole. E ci voleva. Quindi va tutto bene.;1053
Ero con una mia amica, [NAME1]. Dovevamo fare qualcosa tipo un esame.;1054
Eravamo al ristorante insieme ai miei amici e a una persona che era al tavolo con noi. E comunque stavo a questo ristorante, d'estate, abbiamo ordinato. Il menù era un foglietto, un post it con dei giochi di parole. Ehm qui effettivamente loro non mi hanno portato quello che ho ordinato. E una cosa che mi ha trasmesso molta tranquillità, e forse penso anche voglia di relax, era il fatto che tra una portata, era estate quindi sandali, ho tolto i sandali e ho messo i piedi sopra il tavolo, i piedi incrociati sopra il tavolo, proprio a volersi rilassare.;1055
C'era una scuola di magia, tipo Winx, la saga, una cosa del genere. Io praticamente vedevo le vicende dei personaggi da fuori, cioè ero come una spettatrice che vedeva, ma non era percepita da fuori, stava sopra le cose. Però non avevo tanto coscienza di essere lì fuori, cioè vedevo da fuori, però c'ero dentro allo stesso tempo. E c'erano tipo degli scontri tra i personaggi, accadevano delle cose a queste persone, tipo delle battaglie. E c'era tipo un gruppetto, proprio tipo Winx, c'era un gruppetto di quattro o cinque ragazze che erano molto unite, facevano delle cose insieme e combattevano contro tutte le altre persone.;1056
Un museo dove all'ingresso c'era l'ologramma di Arnold.;1057
